,Catalog No.,Product Name,Clinical Research Yes/NO,FDA Approved Yes/No,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Compound ID,Well,Rack,Barcode,CID
50,S1044,"Temsirolimus (CCI-779, NSC 683864)",Yes,Yes,1030.29,162635-04-3,free base,mTOR,Temsirolimus (CCI-779) is a specific mTOR inhibitor with IC50 of 1.76 μM.,[C@H]1(C[C@@H](CC[C@@H]1OC(C(CO)(CO)C)=O)C[C@H]([C@@H]2CC([C@@H](/C=C(/[C@H]([C@@H](OC)C([C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@]3(CC[C@H]([C@](C(C(N4[C@](C(O2)=O)(CCCC4)[H])=O)=O)(O3)O)C)[H])OC)C)C)C)=O)O)C)C)=O)C)OC,72,http://www.selleckchem.com/products/Temsirolimus.html,PI3K/Akt/mTOR,K06343a,E4,L1200-1,0187172204,6918289
51,S1066,SL-327,,,335.35,305350-87-2,free base,MEK,"SL327 is a selective inhibitor for MEK1/2 with IC50 of 0.18 μM/ 0.22 μM, no activity towards Erk1, MKK3, MKK4, c-JUN, PKC, PKA, or CamKII;capable of transport through the blood-brain barrier.",C1=CC=CC(=C1C(F)(F)F)/C(=C(/SC2=CC=C(C=C2)N)N)C#N,11,http://www.selleckchem.com/products/SL327.html,MAPK,K06453a,E5,L1200-1,0187172203,9549284
52,S1080,SU11274,,,568.09,658084-23-2,free base,c-Met,"SU11274 is a selective Met inhibitor with IC50 of 10 nM, no effects on PGDFRβ, EGFR or Tie2.",C1(=CC=CC(=C1)N(C)S(C2=CC3=C(C=C2)NC(C/3=C/C4NC(=C(C=4C)C(N5CCN(CC5)C)=O)C)=O)(=O)=O)Cl,161,http://www.selleckchem.com/products/SU11274.html,Protein Tyrosine Kinase,K00593c,E6,L1200-1,0187172202,9549297
53,S1101,Vatalanib (PTK787) 2HCl,Yes,,419.73,212141-51-0,dihydrochloride,"c-Kit,VEGFR","Vatalanib (PTK787) is an inhibitor of VEGFR2/KDR with IC50 of 37 nM, less potent against VEGFR1/Flt-1, 18-fold against VEGFR3/Flt-4. Phase 1/2.",C1(=CC=C2C(=C1)C(=NN=C2CC3=CC=NC=C3)NC4=CC=C(C=C4)Cl).Cl.Cl,202,"http://www.selleckchem.com/products/Vatalanib,Dihydrochloride-Salt.html",Protein Tyrosine Kinase,K00618b,E7,L1200-1,0187172201,22386467
54,S1109,BI 2536,Yes,,521.66,755038-02-9,free base,PLK,BI2536 is a potent Plk1 inhibitor with IC50 of 0.83 nM. It shows 4- and 11-fold greater selectivity against Plk2 and Plk3. Phase 2.,C1(=CC=C(C(=C1)OC)NC2=NC=C3C(=N2)N([C@@H](C(N3C)=O)CC)C4CCCC4)C(NC5CCN(CC5)C)=O,40,http://www.selleckchem.com/products/BI-2536.html,Cell Cycle,K03970d,E8,L1200-1,0187172200,11364421
55,S1119,"Cabozantinib (XL184, BMS-907351)",Yes,Yes,501.51,849217-68-1,free base,"FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl","Cabozantinib (XL184, BMS-907351) is a potent VEGFR2 inhibitor with IC50 of 0.035 nM and also inhibits c-Met, Ret, Kit, Flt-1/3/4, Tie2, and AXL with IC50 of 1.3 nM, 4 nM, 4.6 nM, 12 nM/11.3 nM/6 nM, 14.3 nM and 7 nM, respectively.",C12=C(C(=CC=N1)OC3=CC=C(C=C3)NC(C4(C(NC5=CC=C(C=C5)F)=O)CC4)=O)C=C(C(=C2)OC)OC,199,http://www.selleckchem.com/products/XL184.html,Protein Tyrosine Kinase,K04312c,E9,L1200-1,0187172199,25102847
56,S8058,P276-00,Yes,,438.3,920113-03-7,hydrochloride,CDK,"p276-00 is a novel CDK1, CDK4 and CDK9 inhibitor with IC50 of 79 nM, 63 nM and 20 nM, respectively.",C1(=CC(=C(C=C1)C2=CC(C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H](N(CC4)C)CO)=O)Cl).Cl,200,https://www.selleckchem.com/products/p276-00.html,Cell Cycle,K06461a,F1,L1200-1,0187172184,23643975
57,S1152,PLX-4720,,,413.83,918505-84-7,free base,Raf,"PLX4720 is a potent and selective inhibitor of B-RafV600E with IC50 of 13 nM, equally potent to c-Raf-1(Y340D and Y341D mutations), 10-fold selectivity for B-RafV600E than wild-type B-Raf.",C1(=CN=C2C(=C1)C(=CN2)C(=O)C3=C(C(=CC=C3F)NS(=O)(=O)CCC)F)Cl,200,http://www.selleckchem.com/products/PLX-4720.html,MAPK,K05286b,F10,L1200-1,0187172193,24180719
58,S1173,WZ4002,,,494.18,1213269-23-8,free base,EGFR,"WZ4002 is a novel, mutant-selective EGFR inhibitor for EGFR(L858R)/(T790M) with IC50 of 2 nM/8 nM; does not inhibit ERBB2 phosphorylation (T798I).",C1(=CC(=C(C=C1)NC2=NC=C(C(=N2)OC3=CC(=CC=C3)NC(C=C)=O)Cl)OC)N4CCN(CC4)C,26,http://www.selleckchem.com/products/WZ4002.html,Protein Tyrosine Kinase,K05787b,F11,L1200-1,0187172194,44607530
59,S1003,Linifanib (ABT-869),Yes,,375.41,796967-16-3,free base,"CSF-1R,PDGFR,VEGFR","Linifanib (ABT-869) is a novel, potent ATP-competitive VEGFR/PDGFR inhibitor for KDR, CSF-1R, Flt-1/3 and PDGFRβ with IC50 of 4 nM, 3 nM, 3 nM/4 nM and 66 nM respectively, mostly effective in mutant kinase-dependent cancer cells (i.e. FLT3). Phase 3. ",C12=CC=CC(=C1C(=NN2)N)C3=CC=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C)F,199,http://www.selleckchem.com/products/ABT-869.html,Protein Tyrosine Kinase,K04317c,F12,L1200-1,No Tube,11485656
60,S1022,"Ridaforolimus (Deforolimus, MK-8669)",Yes,,990.21,572924-54-0,free base,mTOR,"Ridaforolimus (Deforolimus) is a selective mTOR inhibitor with IC50 of 0.2 nM; while not classified as a prodrug, mTOR inhibition and FKBP12 binding is similar to rapamycin.",[C@H]1(C[C@@H](CC[C@@H]1OP(C)(=O)C)C[C@H]([C@@H]2CC([C@@H](/C=C(/[C@H]([C@@H](OC)C([C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@]3(CC[C@H]([C@](C(C(N4[C@](C(O2)=O)(CCCC4)[H])=O)=O)(O3)O)C)[H])OC)C)C)C)=O)O)C)C)=O)C)OC,199,http://www.selleckchem.com/products/Deforolimus.html,PI3K/Akt/mTOR,K06334a,F2,L1200-1,0187172185,11520894
61,S1035,Pazopanib HCl (GW786034 HCl),Yes,Yes,473.98,635702-64-6,hydrochloride,"VEGFR,PDGFR,c-Kit","Pazopanib (GW786034) is a novel multi-target inhibitor of VEGFR1, VEGFR2, VEGFR3, PDGFR, FGFR, c-Kit and c-Fms with IC50 of 10 nM, 30 nM, 47 nM, 84 nM, 74 nM, 140 nM and 146 nM, respectively.",C1(=C(C(=CC(=C1)NC2=NC=CC(=N2)N(C3C=CC4C(C=3)=NN(C=4C)C)C)S(=O)(N)=O)C).Cl,35,http://www.selleckchem.com/products/Pazopanib-Hydrochloride.html,Protein Tyrosine Kinase,K06339a,F3,L1200-1,0187172186,11525740
62,S1046,Vandetanib (ZD6474),Yes,Yes,475.35,443913-73-3,free base,VEGFR,Vandetanib (ZD6474) is a potent inhibitor of VEGFR2 with IC50 of 40 nM.,C12=C(C(=NC=N1)NC3=C(C=C(C=C3)Br)F)C=C(C(=C2)OCC4CCN(CC4)C)OC,10,http://www.selleckchem.com/products/Vandetanib.html,Protein Tyrosine Kinase,K00934d,F4,L1200-1,0187172187,3081361
63,S1068,Crizotinib (PF-02341066),Yes,Yes,450.34,877399-52-5,free base,"c-Met,ALK","PF-2341066 (Crizotinib) is a potent inhibitor of c-Met and ALK with IC50 of 11 nM and 24 nM, respectivley.",C1(=CC(=C(N=C1)N)O[C@@H](C2=C(C=CC(=C2Cl)F)Cl)C)C3=CN(N=C3)C4CCNCC4,19,http://www.selleckchem.com/products/PF-2341066.html,Protein Tyrosine Kinase,K02784d,F5,L1200-1,0187172188,11626560
64,S1084,Brivanib (BMS-540215),Yes,,370.38,649735-46-6,free base,"FGFR,VEGFR","Brivanib is an ATP-competitive inhibitor against VEGFR2 with IC50 of 25 nM, moderate potency against VEGFR-1 and FGFR-1, but >240-fold against PDGFR-β. Phase 3.",C12=C(C(=C(C=C1)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C)F)C=C(N2)C,199,http://www.selleckchem.com/products/Brivanib.html,Protein Tyrosine Kinase,K04321b,F6,L1200-1,0187172189,11234052
65,S1102,U0126-EtOH,,,426.56,1173097-76-1,ethanolat,MEK,"U0126-EtOH is a highly selective inhibitor of MEK1/2 with IC50 of 0.07 μM/0.06 μM, 100-fold higher affinity for ΔN3-S218E/S222D MEK than PD098059.",C1(=CC=C(C(=C1)SC(/N)=C(\C(=C(\SC2=C(C=CC=C2)N)N)C#N)C#N)N).CCO,199,http://www.selleckchem.com/products/U0126.html,MAPK,K05710b,F7,L1200-1,0187172190,16220066
66,S1111,Foretinib (GSK1363089),Yes,,632.65,849217-64-7,free base,"VEGFR,c-Met","Foretinib (GSK1363089) is an ATP-competitive inhibitor of HGFR and VEGFR, mostly for Met and KDR with IC50 of 0.4 nM and 0.9 nM. Less potent against Ron, Flt-1/3/4, Kit, PDGFRα/β and Tie-2, and little activity to FGFR1 and EGFR. Phase 2.",C1(=CC=C(C=C1)F)NC(C2(C(NC3=CC(=C(C=C3)OC4C5=C(N=CC=4)C=C(C(=C5)OC)OCCCN6CCOCC6)F)=O)CC2)=O,200,"http://www.selleckchem.com/products/XL880(GSK1363089,EXEL-2880).html",Protein Tyrosine Kinase,K04300c,F8,L1200-1,0187172191,42642645
67,S1120,Everolimus (RAD001),Yes,Yes,958.22,159351-69-6,free base,mTOR,Everolimus (RAD001) is an mTOR inhibitor of FKBP12 with IC50 of 1.6-2.4 nM.,C(O)CO[C@H]1[C@@H](C[C@@H](CC1)C[C@@H]([C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C([C@]4([C@@H](CC[C@H](O4)C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C([C@@H]([C@@H](O)/C(=C/[C@H](C(C2)=O)C)C)OC)=O)C)C)C)OC)C)O)=O)C)OC,31,http://www.selleckchem.com/products/Everolimus(RAD001).html,PI3K/Akt/mTOR,K06349a,F9,L1200-1,0187172192,6442177
68,S1011,Afatinib (BIBW2992),Yes,Yes,485.94,439081-18-2,free base,"EGFR,HER2","Afatinib (BIBW2992) irreversibly inhibits EGFR/HER2 including EGFR(wt), EGFR(L858R), EGFR(L858R/T790M) and HER2 with IC50 of 0.5 nM, 0.4 nM, 10 nM and 14 nM, respectively; 100-fold more active against Gefitinib-resistant L858R-T790M EGFR mutant. Phase 3.",C1(=C(C=C(C=C1)NC2=NC=NC3=C2C=C(C(=C3)O[C@H]4CCOC4)NC(/C=C/CN(C)C)=O)Cl)F,199,http://www.selleckchem.com/products/BIBW2992.html,Protein Tyrosine Kinase,K04279b,G1,L1200-1,0187172183,10184653
69,S1153,"Roscovitine (Seliciclib,CYC202)",Yes,,354.45,186692-46-6,free base,CDK,"Roscovitine (Seliciclib, CYC202) is a potent and selective CDK inhibitor for Cdc2, CDK2 and CDK5 with IC50 of 0.65 μM, 0.7 μM and 0.16 μM. It shows little effect on CDK4/6. Phase 2.",N1=C2C(=C(N=C1N[C@@H](CO)CC)NCC3=CC=CC=C3)N=CN2C(C)C,200,http://www.selleckchem.com/products/Roscovitine.html,Cell Cycle,K00020e,G10,L1200-1,0187172174,160355
70,S1177,PD98059,,,267.28,167869-21-8,free base,MEK,"PD98059 is a non-ATP competitive MEK inhibitor with IC50 of 2 μM, specifically inhibits MEK-1-mediated activation of MAPK; does not directly inhibit ERK1 or ERK2.",C1=CC=C2C(=C1)C(C=C(O2)C3=CC=CC(=C3N)OC)=O,71,http://www.selleckchem.com/products/PD-98059.html,MAPK,K00023c,G11,L1200-1,0187172173,4713
71,S1018,"Dovitinib (TKI-258, CHIR-258)",Yes,,392.43,405169-16-6,citrate,"FGFR,FLT3,c-Kit,VEGFR,PDGFR","Dovitinib (TKI258, CHIR258) is a multitargeted RTK inhibitor, mostly for class III (FLT3/c-Kit) with IC50 of 1 nM/2 nM, also potent to class IV (FGFR1/3) and class V (VEGFR1-4) RTKs with IC50 of 8-13 nM, less potent to InsR, EGFR, c-Met, EphA2, Tie2, IGF-1R and HER2. Phase 4.",C1=CC=C(C2=C1NC(C(=C2N)C3NC4=C(N=3)C=CC(=C4)N5CCN(CC5)C)=O)F,76,http://www.selleckchem.com/products/CHIR-258.html,Angiogenesis,K00994b,G12,L1200-1,No Tube,135398510
72,S1023,Erlotinib HCl (OSI-744),Yes,Yes,429.9,183319-69-9,hydrochloride,"Autophagy,EGFR","Erlotinib HCl (OSI-744) is an EGFR inhibitor with IC50 of 2 nM, >1000-fold more sensitive for EGFR than human c-Src or v-Abl. Phase 3.",C1(=CC=CC(=C1)C#C)NC2(=NC=NC3=C2C=C(C(=C3)OCCOC)OCCOC)C.Cl,10,http://www.selleckchem.com/products/Erlotinib-Hydrochloride.html,Protein Tyrosine Kinase,K06335a,G2,L1200-1,0187172182,176871
73,S1036,PD0325901,Yes,,482.19,391210-10-9,free base,MEK,"PD0325901 (PD325901) is selective and non ATP-competitive MEK inhibitor with IC50 of 0.33 nM, roughly 500-fold more potent than CI-1040 on phosphorylation of ERK1 and ERK2. Phase 1/2.",C1=CC(=C(C(=C1C(=O)NOC[C@H](O)CO)NC2=CC=C(C=C2F)I)F)F,199,http://www.selleckchem.com/products/PD-0325901.html,MAPK,K05709b,G3,L1200-1,0187172181,9826528
74,S1048,"VX-680 (Tozasertib, MK-0457)",Yes,,464.59,639089-54-6,free base,Aurora Kinase,"VX-680 (Tozasertib, MK-0457) is a pan-Aurora inhibitor, mostly against Aurora A with Kiapp of 0.6 nM, less potent towards Aurora B/Aurora C and 100-fold more selective for Aurora A than 55 other kinases. Phase 2.",C1(=CC(=NC(=N1)SC2=CC=C(C=C2)NC(=O)C3CC3)N4CCN(CC4)C)NC5C=C(NN=5)C,200,http://www.selleckchem.com/products/VX-680(MK-0457).html,Cell Cycle,K00625d,G4,L1200-1,0187172180,5494449
75,S1070,PHA-665752,,,641.61,477575-56-7,free base,c-Met,"PHA-665752 is a potent, selective and ATP-competitive c-Met inhibitor with IC50 of 9 nM,  >50-fold selectivity for c-Met than RTKs or STKs.",C1=CC=C(C(=C1Cl)CS(C2=CC3=C(C=C2)NC(C/3=C/C4=C(C(=C(N4)C)C(N5[C@H](CCC5)CN6CCCC6)=O)C)=O)(=O)=O)Cl,199,http://www.selleckchem.com/products/PHA-665752.html,Protein Tyrosine Kinase,K06413a,G5,L1200-1,0187172179,10461815
76,S1088,NVP-ADW742,,,453.58,475488-23-4,free base,IGF-1R,"NVP-ADW742 is an IGF-1R inhibitor with IC50 of 0.17 μM, >16-fold more potent against IGF-1R than InsR;  little activity to HER2, PDGFR, VEGFR-2, Bcr-Abl and c-Kit.",C12=C(N=CN=C1N)N(C=C2C3=CC(=CC=C3)OCC4=CC=CC=C4)[C@@H]5C[C@H](C5)CN6CCCC6,22,http://www.selleckchem.com/products/NVP-ADW742.html,Protein Tyrosine Kinase,K04993b,G6,L1200-1,0187172178,9825149
77,S1103,ZM 447439,,,513.59,331771-20-1,free base,Aurora Kinase,"ZM 447439 is a selective and ATP-competitive inhibitor for Aurora A and Aurora B with IC50 of 110 nM and 130 nM, respectively. It is more than 8-fold selective for Aurora A/B than MEK1, Src, Lck and has little effect againstCDK1/2/4, Plk1, Chk1, etc.",O1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CN=C3NC4=CC=C(C=C4)NC(=O)C5=CC=CC=C5)OC,200,http://www.selleckchem.com/products/ZM-447439.html,Cell Cycle,K04241b,G7,L1200-1,0187172177,9914412
78,S1112,SGX-523,Yes,,359.41,1022150-57-7,free base,c-Met,"SGX-523 is a selective Met inhibitor with IC50 of 4 nM, no activity to BRAFV599E, c-Raf, Abl and p38α. Phase 1.",C1=C2C(=CC(=C1)SC3N4C(=NN=3)C=CC(=N4)C5C=NN(C=5)C)C=CC=N2,10,http://www.selleckchem.com/products/SGX-523.html,Protein Tyrosine Kinase,K06347a,G8,L1200-1,0187172176,24779724
79,S1124,BMS-754807,Yes,,461.49,1001350-96-4,free base,"IGF-1R,Trk receptor,c-Met","BMS-754807 is a potent and reversible inhibitor of IGF-1R/InsR with IC50 of 1.8 nM/1.7 nM, less potent to Met, Aurora A/B, TrkA/B and Ron, and shows little activity to Flt3, Lck, MK2, PKA, PKC etc. Phase 1/2.",C12N(N=C(N=C1NC3C=C(NN=3)C4CC4)N5CCC[C@]5(C)C(=O)NC6=CC=C(N=C6)F)C=CC=2,199,http://www.selleckchem.com/products/BMS-754807.html,Protein Tyrosine Kinase,K04265c,G9,L1200-1,0187172175,24785538
80,S1014,Bosutinib (SKI-606),Yes,Yes,530.45,380843-75-4,free base,Src,"Bosutinib (SKI-606) is a novel, dual Src/Abl inhibitor with IC50 of 1.2 nM and 1 nM, respectively.",N1=CC(=C(C2=CC(=C(C=C12)OCCCN3CCN(CC3)C)OC)NC4C(=CC(=C(C=4)OC)Cl)Cl)C#N,188,http://www.selleckchem.com/products/Bosutinib.html,Angiogenesis,K00615e,H1,L1200-1,0187172160,5328940
81,S1154,SNS-314 Mesylate,,,527.04,1146618-41-8,mesylate,Aurora Kinase,"SNS-314 Mesylate is a potent and selective inhibitor of Aurora A, Aurora B and Aurora C with IC50 of 9 nM, 31 nM, and 3 nM, respectively. It is less potent to Trk A/B, Flt4, Fms, Axl, c-Raf and DDR2. Phase 1.",C12(=C(N=CN=C1NCCC3SC(=NC=3)NC(NC4=CC(=CC=C4)Cl)=O)C=CS2).CS(=O)(=O)O,199,http://www.selleckchem.com/products/SNS-314.html,Cell Cycle,K04239b,H10,L1200-1,0187172169,24995523
82,S1178,Regorafenib (BAY 73-4506),Yes,Yes,482.82,755037-03-7,free base,"c-RET,VEGFR","Regorafenib (BAY 73-4506) is a multi-target inhibitor for VEGFR1, VEGFR2, VEGFR3, PDGFRβ, Kit, RET and Raf-1 with IC50 of 13 nM/4.2 nM/46 nM, 22 nM, 7 nM, 1.5 nM and 2.5 nM, respectively.",C1=NC(=CC(=C1)OC2=CC(=C(C=C2)NC(NC3=CC=C(C(=C3)C(F)(F)F)Cl)=O)F)C(=O)NC,200,http://www.selleckchem.com/products/BAY-73-4506.html,Protein Tyrosine Kinase,K04291d,H11,L1200-1,0187172170,11167602
83,S1025,Gefitinib (ZD1839),Yes,Yes,446.9,184475-35-2,free base,EGFR,"Gefitinib (ZD-1839) is an EGFR inhibitor for Tyr1173, Tyr992, Tyr1173 and Tyr992 in the NR6wtEGFR and NR6W cells with IC50 of 37 nM, 37nM, 26 nM and 57 nM, respectively.",C1(=C(C=C2C(=C1)N=CN=C2NC3=CC=C(C(=C3)Cl)F)OCCCN4CCOCC4)OC,199,http://www.selleckchem.com/products/Gefitinib.html,Protein Tyrosine Kinase,K00240c,H2,L1200-1,0187170674,123631
84,S1038,PI-103,,,348.36,371935-74-9,free base,"PI3K,Autophagy,DNA-PK,mTOR","PI-103 is a multi-targeted PI3K inhibitor for p110α/β/δ/γ with IC50 of 2 nM/3 nM/3 nM/15 nM, less potent to mTOR/DNA-PK with IC50 of 30 nM/23 nM.",C12=C(N=C(N=C1N3CCOCC3)C4=CC=CC(=C4)O)C5=C(O2)N=CC=C5,68,http://www.selleckchem.com/products/PI-103.html,PI3K/Akt/mTOR,K00623b,H3,L1200-1,0187172162,9884685
85,S1049,Y-27632 2HCl,,,320.26,129830-38-2,dihydrochloric,"Autophagy,ROCK","Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM, exhibits >200-fold selectivity over other kinases, including PKC, cAMP-dependent protein kinase, MLCK and PAK.",[C@@H]1(CC[C@@H](CC1)[C@@H](C)N)C(=O)NC2(C=CN=CC=2).Cl.Cl,199,http://www.selleckchem.com/products/Y-27632.html,Cell Cycle,K06241b,H4,L1200-1,0187172163,9901617
86,S1072,ZSTK474,Yes,,417.41,475110-96-4,free base,PI3K,"ZSTK474 inhibits class I PI3Kisoforms with IC50 of 37 nM, mostly PI3Kδ. ",N1=C(N=C(N=C1N2CCOCC2)N3C4=C(N=C3C(F)F)C=CC=C4)N5CCOCC5,50,http://www.selleckchem.com/products/ZSTK474.html,PI3K/Akt/mTOR,K00860d,H5,L1200-1,0187172164,11647372
87,S1091,OSI-906 (Linsitinib),Yes,,421.49,867160-71-2,free base,IGF-1R,"OSI-906 (Linsitinib) is a selective inhibitor of IGF-1R with IC50 of 35 nM; modestly potent to InsR with IC50 of 75 nM, and no activity towards Abl, ALK, BTK, EGFR, FGFR1/2, PKA etc. Phase 3.",C1=C(C=C2C(=C1)C=CC(=N2)C3=CC=CC=C3)C4=C5N(C(=N4)[C@H]6C[C@@](C6)(C)O)C=CN=C5N,199,http://www.selleckchem.com/products/OSI-906.html,Protein Tyrosine Kinase,K04260c,H6,L1200-1,0187172165,11640390
88,S1104,GDC-0879,,,334.37,905281-76-7,free base,Raf,"GDC-0879 is a novel, potent, and selective B-Raf inhibitor with IC50 of 0.13 nM with activity against c-Raf as well; no inhibition known to other protein kinases.",C(CN1N=C(C(=C1)C2=CC=C3C(=C2)CCC/3=N/O)C4C=CN=CC=4)O,200,http://www.selleckchem.com/products/GDC-0879.html,MAPK,K05285b,H7,L1200-1,0187172166,11717001
89,S1113,GSK690693,Yes,,425.48,937174-76-0,free base,Akt,"GSK690693 is a pan-Akt inhibitor targeting Akt1/2/3 with IC50 of 2 nM/13 nM/9 nM, also sensitive to the AGC kinase family: PKA, PrkX and PKC isozymes. Phase 1.",C12=C(C(=CN=C1C#CC(C)(O)C)OC[C@@H]3CNCCC3)N(C(=N2)C4C(=NON=4)N)CC,91,http://www.selleckchem.com/products/GSK690693.html,PI3K/Akt/mTOR,Z01012b,H8,L1200-1,0187172167,16725726
90,S1133,Alisertib (MLN8237),Yes,,518.92,1028486-01-2,free base,Aurora Kinase,Alisertib (MLN8237) is a selective Aurora A inhibitor with IC50 of 1.2 nM. It has >200-fold higher selectivity for Aurora A than Aurora B. Phase 3.,C1=CC=C(C(=C1OC)C2=NCC3=C(C4=C2C=C(C=C4)Cl)N=C(N=C3)NC5=CC(=C(C=C5)C(O)=O)OC)F,52,http://www.selleckchem.com/products/MLN8237.html,Cell Cycle,K04263e,H9,L1200-1,0187172168,24771867
91,S1179,WZ8040,,,481.01,1214265-57-2,free base,EGFR,"WZ8040 is a novel mutant-selective irreversible EGFRT790M inhibitor, does not inhibit ERBB2 phosphorylation (T798I).",C1(=CC=C(C=C1)NC2=NC=C(C(=N2)SC3=CC(=CC=C3)NC(C=C)=O)Cl)N4CCN(CC4)C,199,http://www.selleckchem.com/products/WZ8040.html,Protein Tyrosine Kinase,K06354a,A1,L1200-2,0187170718,44607531
92,S2183,BGJ398 (NVP-BGJ398),Yes,,560.48,872511-34-7,free base,FGFR,"BGJ398 (NVP-BGJ398) is a potent and selective FGFR inhibitor for FGFR1/2/3 with IC50 of 0.9 nM/1.4 nM/1 nM, >40-fold selective for FGFR versus FGFR4 and VEGFR2, and little activity to Abl, Fyn, Kit, Lck, Lyn and Yes. Phase 2.",N(C(=O)NC1C(=C(C=C(C=1Cl)OC)OC)Cl)(C)C2N=CN=C(C=2)NC3C=CC(=CC=3)N4CCN(CC4)CC,10,http://www.selleckchem.com/products/bgj398-nvp-bgj398.html,Angiogenesis,K04345b,A10,L1200-2,0187172822,53235510
93,S2205,OSI-420,,Yes,415.87,183320-51-6,hydrochloride,EGFR,OSI-420 is the active metabolite of Erlotinib (EGFR inhibitor with IC50 of 2 nM).,C1(=C(C=CC=C1NC2=NC=NC3=C2C=C(C(=C3)OCCOC)OCCO)C#C).Cl,199,"http://www.selleckchem.com/products/OSI-420-Desmethyl-Erlotinib,CP-473420.html",Protein Tyrosine Kinase,K06385a,A11,L1200-2,0187172821,18924996
94,S1234,AG-1024 ,,,305.17,65678-07-1,free base,IGF-1R,"AG-1024 (Tyrphostin) inhibits IGF-1R autophosphorylation with IC50 of 7 μM, is less potent to IR with IC50 of 57 μM and specifically distinguishes between InsR and IGF-1R (as compared to other tyrphostins).",C(C(C#N)=CC1C=C(C(=C(C=1)C(C)(C)C)O)Br)#N,199,http://www.selleckchem.com/products/ag-1024-tyrphostin.html,Protein Tyrosine Kinase,K02599c,A2,L1200-2,0187170673,2044
95,S1314,Zoledronic Acid ,Yes,Yes,272.09,118072-93-8,free base,Rac,Zoledronic acid induces apoptosis in osteoclasts by inhibiting enzymes of the mevalonate pathway and preventing the isoprenylation of small GTP-binding proteins such as Ras and Rho.,C1=NC=CN1CC(O)(P(=O)(O)O)P(=O)(O)O,10,http://www.selleckchem.com/products/Zoledronic-Acid.html,Cell Cycle,S00092b,A3,L1200-2,0187172829,68740
96,S1392,Pelitinib (EKB-569),Yes,,467.92,257933-82-7,free base,EGFR,Pelitinib (EKB-569) is a potent irreversible EGFR inhibitor with IC50 of 38.5 nM. Phase2.,C1(=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(/C=C/CN(C)C)=O)OCC,27,http://www.selleckchem.com/products/Pelitinib.html,Protein Tyrosine Kinase,K06364a,A4,L1200-2,0187172828,6445562
97,S1474,GSK429286A,,,432.37,864082-47-3,free base,ROCK,"GSK429286A is a selective inhibitor of ROCK1 and ROCK2 with IC50 of 14 nM and 63 nM, respectively.",C1(CC(C(=C(N1)C)C(NC2=C(C=C3C(=C2)C=NN3)F)=O)C4=CC=C(C=C4)C(F)(F)F)=O,201,http://www.selleckchem.com/products/GSK429286A.html,Cell Cycle,K04854b,A5,L1200-2,0187172827,11373846
98,S1519,CCT129202,,,497.02,942947-93-5,free base,Aurora Kinase,"CCT129202 is an ATP-competitive pan-Aurora inhibitor for Aurora A, Aurora B and Aurora C with IC50 of 0.042 μM, 0.198 μM and 0.227 μM, respectively. It is less potent to FGFR3, GSK3β, PDGFRβ, etc.",C1(=CN=C2C(=C1N3CCN(CC3)CC(NC4SC=CN=4)=O)N=C(N2)C5=CC=C(C=C5)N(C)C)Cl,10,http://www.selleckchem.com/products/CCT129202.html,Cell Cycle,K06370a,A6,L1200-2,0187172826,16202152
99,S1533,R406 (free base),,,470.45,841290-80-0,free base,Syk,"R406 (free base) is a potent Syk inhibitor with IC50 of 41 nM, strongly inhibits Syk but not Lyn, 5-fold less potent to Flt3. Phase 2.",C1(=C(C=C(C=C1OC)NC2=NC(=C(C=N2)F)NC3=NC4=C(C=C3)OC(C(N4)=O)(C)C)OC)OC,44,http://www.selleckchem.com/products/R406(free-base).html,Angiogenesis,K05777b,A7,L1200-2,0187172825,11213558
100,S1570,KU-60019,,,547.67,925701-49-1,free base,ATM/ATR,"KU-60019 is an improved analogue of KU-55933, with IC50 of 6.3 nM for ATM, 270- and 1600-fold more selective for ATM than DNA-PK and ATR,and is a highly effective radiosensitizer.",C1=C(C=CC2=C1CC3=C(S2)C(=CC=C3)C4=CC(C=C(O4)N5CCOCC5)=O)NC(CN6C[C@@H](O[C@@H](C6)C)C)=O,73,http://www.selleckchem.com/products/KU-60019.html,DNA Damage,K06378a,A8,L1200-2,0187172824,15953870
